id,title,duration_min,speakers_name,speakers_occupation,event,topics,views,page_url,published_date,recorded_date,subtitle_languages,likes
18817,The dark side of storytelling,10.966666666666667,Suzanne Duncan,Story skeptic,TED@State Street Boston,"storytelling, work, society",25599,https://www.ted.com/talks/suzanne_duncan_the_dark_side_of_storytelling,2018-07-30,2015-11-03,no subtitles,767
24273,What makes muscles grow?,4.066666666666666,Jeffrey Siegel,Educator,TED-Ed,"science, food, health, health care, biology, public health, TED-Ed, animation, human body, exercise",18941730,https://www.ted.com/talks/jeffrey_siegel_what_makes_muscles_grow,2019-03-01,2015-11-03,"Polish, English, Vietnamese, Italian, Arabic, Portuguese, Brazilian, Spanish, Russian, Portuguese, Chinese, Traditional, Chinese, Simplified, Thai, French, Bulgarian, Croatian, Hungarian, Persian, Japanese, Hebrew, Serbian, Albanian, Korean, Marathi, Dutch, Turkish, Indonesian, Northern Kurdish (Kurmanji), Greek, Romanian, Kurdish (Central)",568000
2367,The coolest animal you know nothing about ... and how we can save it,11.383333333333333,Patrícia Medici,Wildlife conservationist,TED Fellows 2015,"environment, animals, biology, Brazil, biodiversity, TED Fellows",1503576,https://www.ted.com/talks/patricia_medici_the_coolest_animal_you_know_nothing_about_and_how_we_can_save_it,2015-11-04,2015-08-26,"Polish, English, Vietnamese, Italian, Arabic, Portuguese, Brazilian, Czech, Spanish, Russian, Dutch, Portuguese, Chinese, Traditional, Turkish, Chinese, Simplified, Thai, Romanian, French, Croatian, German, Danish, Persian, Hungarian, Japanese, Hebrew, Serbian, Korean, Slovak, Ukrainian, Northern Kurdish (Kurmanji)",45000
2368,Forget Wi-Fi. Meet the new Li-Fi Internet,7.233333333333333,Harald Haas,Communications technology innovator,TEDGlobal>London,"design, invention, innovation, communication, demo, solar energy, Internet, infrastructure",2857010,https://www.ted.com/talks/harald_haas_forget_wi_fi_meet_the_new_li_fi_internet,2015-11-05,2015-09-29,"Greek, English, Vietnamese, Italian, Arabic, Portuguese, Brazilian, Czech, Indonesian, Spanish, Russian, Dutch, Portuguese, Chinese, Traditional, Turkish, Chinese, Simplified, Thai, Romanian, French, Bulgarian, Croatian, German, Hungarian, Persian, Hindi, Japanese, Hebrew, Telugu, Serbian, Korean, Swedish, Ukrainian, Marathi, Burmese, Polish",85000
2366,A musical escape into a world of light and color,11.35,Kaki King,Guitarist,TEDWomen 2015,"entertainment, music, performance, innovation, creativity, art",1551025,https://www.ted.com/talks/kaki_king_a_musical_escape_into_a_world_of_light_and_color,2015-11-06,2015-05-27,"English, Greek, Vietnamese, Italian, Arabic, Portuguese, Brazilian, Czech, Indonesian, Spanish, Russian, Dutch, Portuguese, Chinese, Simplified, Chinese, Traditional, Turkish, Croatian, Romanian, Polish, French, Bulgarian, French (Canada), German, Danish, Persian, Hindi, Hungarian, Japanese, Hebrew, Telugu, Serbian, Korean, Urdu, Marathi, Burmese, Latvian, Northern Kurdish (Kurmanji), Gujarati, Kurdish (Central)",46000
2370,This is what LGBT life is like around the world,11.683333333333334,Jenni Chang and Lisa Dazols,Documentary filmmakers,TEDWomen 2015,"global issues, social change, gender, love, relationships, film, travel, society, Transgender, LGBTQIA+",2765400,https://www.ted.com/talks/jenni_chang_and_lisa_dazols_this_is_what_lgbt_life_is_like_around_the_world,2015-11-09,2015-05-27,"Greek, English, Vietnamese, Catalan, Italian, Arabic, Portuguese, Brazilian, Spanish, Portuguese, Chinese, Traditional, Turkish, Chinese, Simplified, French, Russian, Croatian, German, Hungarian, Persian, Japanese, Hebrew, Korean, Swedish, Polish, Indonesian, Romanian, Serbian, Ukrainian, Hindi, Danish",82000
24275,How stress affects your brain,4.0,Madhumita Murgia,Educator,TED-Ed,"health, health care, psychology, brain, consciousness, public health, TED-Ed, animation, human body",6090451,https://www.ted.com/talks/madhumita_murgia_how_stress_affects_your_brain,2019-03-15,2015-11-09,"Greek, English, Vietnamese, Italian, Arabic, Portuguese, Brazilian, Galician, Indonesian, Spanish, Russian, Portuguese, Chinese, Traditional, Chinese, Simplified, Thai, Romanian, Polish, French, Armenian, Croatian, German, Persian, Japanese, Hebrew, Serbian, Mongolian, Korean, Ukrainian, Slovenian, Turkish, Hungarian, Burmese, Uzbek, Kurdish (Central), Northern Kurdish (Kurmanji)",182000
2369,The moral bias behind your search results,9.15,Andreas Ekström,Author and journalist,TEDxOslo,"technology, computers, software, communication, decision-making, society, TEDx, Internet, algorithm",1642565,https://www.ted.com/talks/andreas_ekstrom_the_moral_bias_behind_your_search_results,2015-11-10,2015-01-29,"Greek, English, Vietnamese, Catalan, Italian, Arabic, Portuguese, Brazilian, Indonesian, Spanish, Russian, Dutch, Portuguese, Chinese, Simplified, Chinese, Traditional, Turkish, Latvian, Thai, Romanian, French, Bulgarian, Croatian, German, Danish, Persian, Finnish, Hungarian, Japanese, Hebrew, Serbian, Korean, Swedish, Macedonian, Polish",49000
2372,How I'm working for change inside my church,12.433333333333334,Chelsea Shields,"Activist, anthropologist, consultant",TED Fellows Retreat 2015,"community, religion, activism, personal growth, women, society, identity, TED Fellows, feminism, equality",1551319,https://www.ted.com/talks/chelsea_shields_how_i_m_working_for_change_inside_my_church,2015-11-12,2015-08-26,"Greek, English, Vietnamese, Italian, Arabic, Portuguese, Brazilian, Spanish, Russian, Dutch, Portuguese, Chinese, Traditional, Turkish, Chinese, Simplified, Polish, French, Hungarian, Persian, Japanese, Hebrew, Serbian, Korean, Ukrainian, Romanian",46000
2768,What would happen if you didn't sleep?,4.316666666666666,Claudia Aguirre,Educator,TED-Ed,"science, memory, education, health, health care, biology, brain, public health, youth, TED-Ed, sleep, human body",13651756,https://www.ted.com/talks/claudia_aguirre_what_would_happen_if_you_didn_t_sleep,2017-09-07,2015-11-12,"Dutch, Greek, English, Vietnamese, Italian, Arabic, Portuguese, Brazilian, Indonesian, Spanish, Russian, Portuguese, Chinese, Traditional, Turkish, Chinese, Simplified, Thai, Romanian, Polish, French, Armenian, German, Persian, Japanese, Hebrew, Serbian, Mongolian, Korean, Swedish, Ukrainian, Marathi, Burmese, Hungarian, Galician, Northern Kurdish (Kurmanji), Kurdish (Central)",409000
2374,The chilling aftershock of a brush with death,15.333333333333334,Jean-Paul Mari,Journalist and psychologist,TEDxCannes,"global issues, military, death, health, psychology, war, violence, TEDx, Middle East, PTSD",883782,https://www.ted.com/talks/jean_paul_mari_the_chilling_aftershock_of_a_brush_with_death,2015-11-13,2015-03-28,"English, Italian, Arabic, Portuguese, Brazilian, Spanish, Portuguese, Chinese, Traditional, Turkish, Chinese, Simplified, Telugu, French, German, Persian, Japanese, Hebrew, Serbian, Korean, Ukrainian, Greek, Russian, Polish, Romanian, Bulgarian",26000
2371,Why sneakers are a great investment,11.683333333333334,Josh Luber,Sneaker data expert,TED@IBM,"economics, marketing, fashion, shopping, data, investing",2323912,https://www.ted.com/talks/josh_luber_why_sneakers_are_a_great_investment,2015-11-16,2015-10-15,"English, Vietnamese, Italian, Arabic, Portuguese, Brazilian, Indonesian, Spanish, Russian, Portuguese, Chinese, Traditional, Turkish, Chinese, Simplified, Thai, French, Ukrainian, Hungarian, Persian, Japanese, Hebrew, Korean, Polish",69000
